,n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
121,60,0,0.1,1,0.5,0.175,350
122,60,0,0.1,2,0.5,0.588,1176
123,60,0,0.1,3,0.5,0.8295,1659
124,60,0,0.1,4,0.5,0.46,920
125,60,0,0.1,5,0.5,0.2605,521
126,60,0,0.1,6,0.5,0.9075,1815
127,60,0,0.1,7,0.5,0.364,728
128,60,0,0.1,8,0.5,0.845,1690
129,60,0,0.1,9,0.5,0.4895,979
130,60,0,0.1,10,0.5,0.4655,931
131,60,0,0.1,1,0.6,0.093,186
132,60,0,0.1,2,0.6,0.1025,205
133,60,0,0.1,3,0.6,0.2865,573
134,60,0,0.1,4,0.6,0.658,1316
135,60,0,0.1,5,0.6,0.2425,485
136,60,0,0.1,6,0.6,0.5365,1073
137,60,0,0.1,7,0.6,0.763,1526
138,60,0,0.1,8,0.6,0.215,430
139,60,0,0.1,9,0.6,0.8265,1653
140,60,0,0.1,10,0.6,0.232,464
141,60,0,0.1,1,0.7,0.0215,43
142,60,0,0.1,2,0.7,0.6755,1351
143,60,0,0.1,3,0.7,0.1075,215
144,60,0,0.1,4,0.7,0.384,768
145,60,0,0.1,5,0.7,0.4575,915
146,60,0,0.1,6,0.7,0.3065,613
147,60,0,0.1,7,0.7,0.2065,413
148,60,0,0.1,8,0.7,0.0635,127
149,60,0,0.1,9,0.7,0.346,692
150,60,0,0.1,10,0.7,0.03,60
