diff_p20changeprop0.1,diff_p60changeprop0.1,diff_p20changeprop0.025,diff_p60changeprop0.025
0.0883251579799056,0.138380243547575,0.00334675530988382,0.0282380143925242
0.0522197466159057,0.0948086679393706,0.00608972373216465,-0.00772029576891264
0.0912805893322257,0.0891877472899875,0.0241461762376403,0.0446468230034428
0.0931275064375882,0.14516793757552,0.00977618054965745,0.0321053220720255
0.0766515108469425,0.0615884127805254,-0.0606223132160505,0.0430559811973932
0.0818799905054102,0.0574460046236693,0.00621039445826632,0.0173732772091388
0.118705946948825,0.130651048503316,0.0721417051803925,0.0292863984033528
0.0796508299247297,0.107436836654456,0.0497406540424384,0.022338718394903
0.1254107518385,0.117624949620237,0.0269919597494637,0.00466599336648454
0.021323409547317,0.104772844143584,0.0818712285355508,0.00976083980973341
0.106729494445431,0.115263470430016,0.0115213640249128,0.0241687792723296
0.0996733946053318,0.0529324146081673,-0.0128250823044415,0.0139937032971859
0.138921835002166,0.0362863306970042,0.0487328450906805,0.0318982431216273
0.118186863633231,0.0883193290490897,-0.0189804306713163,0.0516867380840346
0.119502127953043,0.128128481530803,0.0556659036658871,0.0231712458556154
0.126152507982264,0.0759027868077087,0.0235807428400605,0.0467292559484879
0.130634030366619,0.0698726566661482,0.0249692186941813,0.0376797371240626
0.115006440686732,0.136709771466524,-0.00716366759518972,0.0160283366106753
0.124488880267551,0.0106539529242383,0.0326346127112301,0.0436327800794357
0.0976052925549314,0.11417447587719,0.013060296505941,0.0400561314809448
0.0980963360907717,0.106776943547163,0.020559209484868,0.0356637114182856
0.0508362502041662,0.149283728893899,0.0116451036771226,0.00587673024477509
0.0982945461510151,0.0959187759026034,0.0233509722040313,0.0101645174688755
0.0446317252788995,0.0893172756454043,0.0284713846556959,0.0104648853581606
0.0866892013807558,0.117527434545623,-0.012245730364418,0.0148397519549366
0.0729818053738795,0.148515761166391,-0.0135656803198708,0.0249253264956385
0.0942014318072413,0.103860144497004,0.0300752945945058,0.0238530877983968
0.107892493459714,0.107179744191891,0.043204508131627,-0.0102912337941992
0.103903687131468,0.138509490515547,-0.0149009078089424,0.0287160981678035
0.0964228187762379,0.0867112433906693,0.0399202304723097,0.036655257021546
0.0990473578396553,0.10559700782126,0.0324432184496501,-0.0114544044020491
0.102455785025066,0.150115407566789,-0.0123464975863347,0.034818775588225
0.0794215070289123,0.0698410187798255,0.0172111576297462,0.0146655923368326
0.0705122618237085,0.0791865282516578,-0.000117979831115056,0.0412235385291835
0.0947607641622644,0.056709559217379,0.0817831920073038,0.0211975542811831
0.0916154373812862,0.131218032312591,0.0749068901954103,0.0224950959052623
0.0867587399332329,0.10316328083707,-0.0147351522102265,0.0425273495158517
0.0743392571743743,0.0676377706960294,0.0315721849812541,0.0199182514918308
0.119521378494435,0.144113173082918,0.00390094646066552,0.0146745520953531
0.106319089448758,0.0237506343025711,0.00364871930757948,0.0295371406838068
0.085124102284667,0.0467129109792999,-0.0217569691207559,0.0147803137844306
0.0658716460234072,0.121529603835033,0.0687779194675249,0.0473195239172111
0.0812618455672356,0.158925154203314,-0.0150610832984771,0.0292985479413548
0.0404606646783919,0.127163321556668,0.0292835494748127,0.0442181553794486
0.120482611935458,0.104157794600747,0.00611523970891525,0.0433725982244634
0.0906567735523091,0.0819755401190351,0.00989531244651798,0.0208011549237977
0.0891387755265241,0.104392245662059,0.0522066499778632,0.0126358998875296
0.081860692948279,0.151680765010294,0.0383874642710978,0.0450161275253101
0.10701261014048,0.08849606503133,0.0369648388363816,0.0158841219826522
0.089054857978905,0.144271515844971,-0.00309342848458127,0.00742230203520144
0.103315749633536,0.126644224649396,0.000413447204302142,0.0119415262393142
0.102327032830152,0.141031205297369,0.0995620431927993,0.0220888410012554
