n,changeprob_mean,repetition,proportion_inside,proportion_estimates_below_zero,count_estimates_below_zero
20,0.2,5,0.8,0.9415,1883
20,0.2,6,0.8,0.7875,1575
20,0.2,7,0.8,0.787,1574
20,0.2,8,0.8,0.885,1770
20,0.2,9,0.8,0.6515,1303
20,0.2,10,0.8,0.666,1332
20,0.1,1,0.6,0.6405,1281
20,0.1,2,0.6,0.788,1576
20,0.1,3,0.6,0.7615,1523
20,0.1,4,0.6,0.5175,1035
20,0.1,5,0.6,0.1325,265
20,0.1,6,0.6,0.478,956
20,0.1,7,0.6,0.2045,409
20,0.1,8,0.6,0.0615,123
20,0.1,9,0.6,0.6375,1275
20,0.1,10,0.6,0.9505,1901
20,0.1,1,0.7,0.7815,1563
20,0.1,2,0.7,0.781,1562
20,0.1,3,0.7,0.2235,447
20,0.1,4,0.7,0.3645,729
20,0.1,5,0.7,0.879,1758
20,0.1,6,0.7,0.361,722
20,0.1,7,0.7,0.973,1946
20,0.1,8,0.7,0.6415,1283
20,0.1,9,0.7,0.2045,409
20,0.1,10,0.7,0.349,698
20,0.1,1,0.8,0.6515,1303
20,0.1,2,0.8,0.4925,985
20,0.1,3,0.8,0.6575,1315
20,0.1,4,0.8,0.5055,1011
20,0.1,5,0.8,0.9,1800
20,0.1,6,0.8,0.8755,1751
20,0.1,7,0.8,0.492,984
20,0.1,8,0.8,0.783,1566
20,0.1,9,0.8,0.5055,1011
20,0.1,10,0.8,0.1825,365
20,0.05,1,0.6,0.4835,967
20,0.05,2,0.6,0.942,1884
20,0.05,3,0.6,0.3425,685
20,0.05,4,0.6,0.216,432
20,0.05,5,0.6,0.1975,395
20,0.05,6,0.6,0.365,730
20,0.05,7,0.6,0.755,1510
20,0.05,8,0.6,0.654,1308
20,0.05,9,0.6,0.866,1732
20,0.05,10,0.6,0.645,1290
20,0.05,1,0.7,0.6785,1357
20,0.05,2,0.7,0.782,1564
20,0.05,3,0.7,0.798,1596
20,0.05,4,0.7,0.7805,1561
20,0.05,5,0.7,0.789,1578
20,0.05,6,0.7,0.6625,1325
20,0.05,7,0.7,0.8765,1753
20,0.05,8,0.7,0.3645,729
20,0.05,9,0.7,0.029,58
20,0.05,10,0.7,0.9915,1983
20,0.05,1,0.8,0.518,1036
20,0.05,2,0.8,0.511,1022
20,0.05,3,0.8,0.657,1314
20,0.05,4,0.8,0.501,1002
20,0.05,5,0.8,0.3345,669
20,0.05,6,0.8,0.3425,685
20,0.05,7,0.8,0.5095,1019
20,0.05,8,0.8,0.505,1010
20,0.05,9,0.8,0.5055,1011
20,0.05,10,0.8,0.3155,631
20,0.025,1,0.6,0.4945,989
20,0.025,2,0.6,0.342,684
20,0.025,3,0.6,0.8045,1609
20,0.025,4,0.6,0.0275,55
20,0.025,5,0.6,0.3615,723
20,0.025,6,0.6,0.508,1016
20,0.025,7,0.6,0.795,1590
20,0.025,8,0.6,0.514,1028
20,0.025,9,0.6,0.3425,685
20,0.025,10,0.6,0.7885,1577
20,0.025,1,0.7,0.2105,421
20,0.025,2,0.7,0.338,676
20,0.025,3,0.7,0.485,970
20,0.025,4,0.7,0.505,1010
20,0.025,5,0.7,0.792,1584
20,0.025,6,0.7,0.5005,1001
20,0.025,7,0.7,0.229,458
20,0.025,8,0.7,0.8855,1771
20,0.025,9,0.7,0.984,1968
20,0.025,10,0.7,0.5055,1011
20,0.025,1,0.8,0.2065,413
20,0.025,2,0.8,0.219,438
20,0.025,3,0.8,0.324,648
20,0.025,4,0.8,0.894,1788
20,0.025,5,0.8,0.337,674
20,0.025,6,0.8,0.342,684
20,0.025,7,0.8,0.345,690
20,0.025,8,0.8,0.3325,665
20,0.025,9,0.8,0.495,990
20,0.025,10,0.8,0.666,1332
20,0,1,0.6,0.211,422
20,0,2,0.6,0.773,1546
20,0,3,0.6,0.946,1892
20,0,4,0.6,0.122,244
20,0,5,0.6,0.12,240
20,0,6,0.6,0.643,1286
20,0,7,0.6,0.1155,231
20,0,8,0.6,0.332,664
20,0,9,0.6,0.785,1570
20,0,10,0.6,0.3595,719
20,0,1,0.7,0.2135,427
20,0,2,0.7,0.215,430
20,0,3,0.7,0.653,1306
20,0,4,0.7,0.772,1544
20,0,5,0.7,0.0635,127
20,0,6,0.7,0.2175,435
20,0,7,0.7,0.3405,681
20,0,8,0.7,0.209,418
20,0,9,0.7,0.649,1298
20,0,10,0.7,0.977,1954
20,0,1,0.8,0.0245,49
20,0,2,0.8,0.093,186
20,0,3,0.8,0.495,990
20,0,4,0.8,0.347,694
20,0,5,0.8,0.3145,629
20,0,6,0.8,0.7935,1587
20,0,7,0.8,0.3135,627
20,0,8,0.8,0.5,1000
20,0,9,0.8,0.819,1638
20,0,10,0.8,0.6775,1355
30,0.3,1,0.6,0.964,1928
30,0.3,2,0.6,0.9625,1925
30,0.3,3,0.6,0.9785,1957
30,0.3,4,0.6,0.7545,1509
30,0.3,5,0.6,0.3705,741
30,0.3,6,0.6,0.901,1802
30,0.3,7,0.6,0.953,1906
30,0.3,8,0.6,0.991,1982
30,0.3,9,0.6,0.9085,1817
30,0.3,10,0.6,0.4915,983
30,0.3,1,0.7,0.976,1952
30,0.3,2,0.7,0.952,1904
30,0.3,3,0.7,0.986,1972
30,0.3,4,0.7,0.9515,1903
30,0.3,5,0.7,0.1565,313
30,0.3,6,0.7,0.9095,1819
30,0.3,7,0.7,0.8585,1717
30,0.3,8,0.7,0.8505,1701
30,0.3,9,0.7,0.996,1992
30,0.3,10,0.7,0.963,1926
30,0.3,1,0.8,0.9605,1921
30,0.3,2,0.8,0.9935,1987
30,0.3,3,0.8,0.841,1682
30,0.3,4,0.8,0.9105,1821
30,0.3,5,0.8,0.9175,1835
30,0.3,6,0.8,0.855,1710
30,0.3,7,0.8,0.981,1962
30,0.3,8,0.8,0.234,468
30,0.3,9,0.8,0.97,1940
30,0.3,10,0.8,0.488,976
30,0.2,1,0.6,0.6425,1285
30,0.2,2,0.6,0.9145,1829
30,0.2,3,0.6,0.8275,1655
30,0.2,4,0.6,0.8455,1691
30,0.2,5,0.6,0.504,1008
30,0.2,6,0.6,0.9105,1821
30,0.2,7,0.6,0.9745,1949
30,0.2,8,0.6,0.922,1844
30,0.2,9,0.6,0.9055,1811
30,0.2,10,0.6,0.982,1964
30,0.2,1,0.7,0.961,1922
30,0.2,2,0.7,0.9885,1977
30,0.2,3,0.7,0.6315,1263
30,0.2,4,0.7,0.494,988
30,0.2,5,0.7,0.8945,1789
30,0.2,6,0.7,0.917,1834
30,0.2,7,0.7,0.9525,1905
30,0.2,8,0.7,0.6385,1277
30,0.2,9,0.7,0.984,1968
30,0.2,10,0.7,0.37,740
30,0.2,1,0.8,0.631,1262
30,0.2,2,0.8,0.7515,1503
30,0.2,3,0.8,0.9935,1987
30,0.2,4,0.8,0.505,1010
30,0.2,5,0.8,0.8725,1745
30,0.2,6,0.8,0.978,1956
30,0.2,7,0.8,0.626,1252
30,0.2,8,0.8,0.8485,1697
30,0.2,9,0.8,0.918,1836
30,0.2,10,0.8,0.861,1722
30,0.1,1,0.6,0.992,1984
30,0.1,2,0.6,0.3575,715
30,0.1,3,0.6,0.741,1482
30,0.1,4,0.6,0.9455,1891
30,0.1,5,0.6,0.0935,187
30,0.1,6,0.6,0.6455,1291
30,0.1,7,0.6,0.9535,1907
30,0.1,8,0.6,0.7675,1535
30,0.1,9,0.6,0.4935,987
30,0.1,10,0.6,0.6185,1237
30,0.1,1,0.7,0.854,1708
30,0.1,2,0.7,0.764,1528
30,0.1,3,0.7,0.843,1686
30,0.1,4,0.7,0.96,1920
30,0.1,5,0.7,0.954,1908
30,0.1,6,0.7,0.8335,1667
30,0.1,7,0.7,0.7375,1475
30,0.1,8,0.7,0.6405,1281
30,0.1,9,0.7,0.152,304
30,0.1,10,0.7,0.9755,1951
30,0.1,1,0.8,0.9555,1911
30,0.1,2,0.8,0.3745,749
30,0.1,3,0.8,0.22,440
30,0.1,4,0.8,0.751,1502
30,0.1,5,0.8,0.8905,1781
30,0.1,6,0.8,0.96,1920
30,0.1,7,0.8,0.7545,1509
30,0.1,8,0.8,0.5025,1005
30,0.1,9,0.8,0.8985,1797
30,0.1,10,0.8,0.75,1500
30,0.05,1,0.6,0.0425,85
30,0.05,2,0.6,0.947,1894
30,0.05,3,0.6,0.956,1912
30,0.05,4,0.6,0.841,1682
30,0.05,5,0.6,0.38,760
30,0.05,6,0.6,0.744,1488
30,0.05,7,0.6,0.74,1480
30,0.05,8,0.6,0.814,1628
30,0.05,9,0.6,0.733,1466
30,0.05,10,0.6,0.6155,1231
30,0.05,1,0.7,0.2555,511
30,0.05,2,0.7,0.844,1688
30,0.05,3,0.7,0.852,1704
30,0.05,4,0.7,0.0455,91
30,0.05,5,0.7,0.36,720
30,0.05,6,0.7,0.7445,1489
30,0.05,7,0.7,0.6505,1301
30,0.05,8,0.7,0.216,432
30,0.05,9,0.7,0.7745,1549
30,0.05,10,0.7,0.729,1458
30,0.05,1,0.8,0.6405,1281
30,0.05,2,0.8,0.0865,173
30,0.05,3,0.8,0.6495,1299
30,0.05,4,0.8,0.966,1932
30,0.05,5,0.8,0.9755,1951
30,0.05,6,0.8,0.3465,693
30,0.05,7,0.8,0.5015,1003
30,0.05,8,0.8,0.864,1728
30,0.05,9,0.8,0.0135,27
30,0.05,10,0.8,0.497,994
30,0.025,1,0.6,0.4905,981
30,0.025,2,0.6,0.959,1918
30,0.025,3,0.6,0.6195,1239
30,0.025,4,0.6,0.651,1302
30,0.025,5,0.6,0.774,1548
30,0.025,6,0.6,0.743,1486
30,0.025,7,0.6,0.5015,1003
30,0.025,8,0.6,0.5025,1005
30,0.025,9,0.6,0.832,1664
30,0.025,10,0.6,0.4885,977
30,0.025,1,0.7,0.1505,301
30,0.025,2,0.7,0.7355,1471
30,0.025,3,0.7,0.628,1256
30,0.025,4,0.7,0.082,164
30,0.025,5,0.7,0.5025,1005
30,0.025,6,0.7,0.3525,705
30,0.025,7,0.7,0.9105,1821
30,0.025,8,0.7,0.7515,1503
30,0.025,9,0.7,0.511,1022
30,0.025,10,0.7,0.6335,1267
30,0.025,1,0.8,0.499,998
30,0.025,2,0.8,0.6305,1261
30,0.025,3,0.8,0.2415,483
30,0.025,4,0.8,0.647,1294
30,0.025,5,0.8,0.5145,1029
30,0.025,6,0.8,0.8605,1721
30,0.025,7,0.8,0.3545,709
30,0.025,8,0.8,0.4985,997
30,0.025,9,0.8,0.4945,989
30,0.025,10,0.8,0.209,418
30,0,1,0.6,0.7595,1519
30,0,2,0.6,0.3455,691
30,0,3,0.6,0.943,1886
30,0,4,0.6,0.9195,1839
30,0,5,0.6,0.752,1504
30,0,6,0.6,0.745,1490
30,0,7,0.6,0.1545,309
30,0,8,0.6,0.4905,981
30,0,9,0.6,0.5085,1017
30,0,10,0.6,0.851,1702
30,0,1,0.7,0.73,1460
30,0,2,0.7,0.1275,255
30,0,3,0.7,0.769,1538
30,0,4,0.7,0.237,474
30,0,5,0.7,0.52,1040
30,0,6,0.7,0.4855,971
30,0,7,0.7,0.629,1258
30,0,8,0.7,0.49,980
30,0,9,0.7,0.0935,187
30,0,10,0.7,0.953,1906
30,0,1,0.8,0.7875,1575
30,0,2,0.8,0.6365,1273
30,0,3,0.8,0.4895,979
30,0,4,0.8,0.5115,1023
30,0,5,0.8,0.651,1302
30,0,6,0.8,0.885,1770
30,0,7,0.8,0.069,138
30,0,8,0.8,0.476,952
30,0,9,0.8,0.5015,1003
30,0,10,0.8,0.38,760
40,0.3,1,0.6,0.9505,1901
40,0.3,2,0.6,0.999,1998
40,0.3,3,0.6,1,2000
40,0.3,4,0.6,0.995,1990
40,0.3,5,0.6,0.9915,1983
40,0.3,6,0.6,0.725,1450
40,0.3,7,0.6,1,2000
40,0.3,8,0.6,0.993,1986
40,0.3,9,0.6,0.9855,1971
40,0.3,10,0.6,0.9915,1983
40,0.3,1,0.7,0.9685,1937
40,0.3,2,0.7,0.988,1976
40,0.3,3,0.7,0.7535,1507
40,0.3,4,0.7,0.9345,1869
40,0.3,5,0.7,0.8055,1611
40,0.3,6,0.7,0.9625,1925
40,0.3,7,0.7,0.997,1994
40,0.3,8,0.7,0.9905,1981
40,0.3,9,0.7,0.9985,1997
40,0.3,10,0.7,0.96,1920
40,0.3,1,0.8,0.9845,1969
40,0.3,2,0.8,0.828,1656
40,0.3,3,0.8,0.923,1846
40,0.3,4,0.8,1,2000
40,0.3,5,0.8,0.9895,1979
40,0.3,6,0.8,0.9885,1977
40,0.3,7,0.8,1,2000
40,0.3,8,0.8,0.8145,1629
40,0.3,9,0.8,0.994,1988
40,0.3,10,0.8,0.998,1996
40,0.2,1,0.6,0.3895,779
40,0.2,2,0.6,1,2000
40,0.2,3,0.6,0.2905,581
40,0.2,4,0.6,0.8875,1775
40,0.2,5,0.6,0.821,1642
40,0.2,6,0.6,0.9935,1987
40,0.2,7,0.6,0.8845,1769
40,0.2,8,0.6,0.8715,1743
40,0.2,9,0.6,0.8025,1605
40,0.2,10,0.6,0.7225,1445
40,0.2,1,0.7,0.289,578
40,0.2,2,0.7,0.99,1980
40,0.2,3,0.7,0.999,1998
40,0.2,4,0.7,0.9735,1947
40,0.2,5,0.7,0.632,1264
40,0.2,6,0.7,0.935,1870
40,0.2,7,0.7,0.968,1936
40,0.2,8,0.7,0.9415,1883
40,0.2,9,0.7,0.92,1840
40,0.2,10,0.7,0.8885,1777
40,0.2,1,0.8,0.987,1974
40,0.2,2,0.8,0.78,1560
40,0.2,3,0.8,0.979,1958
40,0.2,4,0.8,0.9395,1879
40,0.2,5,0.8,0.996,1992
40,0.2,6,0.8,0.6205,1241
40,0.2,7,0.8,0.966,1932
40,0.2,8,0.8,0.955,1910
40,0.2,9,0.8,0.98,1960
40,0.2,10,0.8,0.727,1454
40,0.1,1,0.6,0.2745,549
40,0.1,2,0.6,0.0375,75
40,0.1,3,0.6,0.9635,1927
40,0.1,4,0.6,0.9775,1955
40,0.1,5,0.6,0.0665,133
40,0.1,6,0.6,0.302,604
40,0.1,7,0.6,0.388,776
40,0.1,8,0.6,0.6345,1269
40,0.1,9,0.6,0.49,980
40,0.1,10,0.6,0.9215,1843
40,0.1,1,0.7,0.706,1412
40,0.1,2,0.7,0.7275,1455
40,0.1,3,0.7,0.382,764
40,0.1,4,0.7,0.928,1856
40,0.1,5,0.7,0.6335,1267
40,0.1,6,0.7,0.9515,1903
40,0.1,7,0.7,0.5085,1017
40,0.1,8,0.7,0.876,1752
40,0.1,9,0.7,0.8745,1749
40,0.1,10,0.7,0.928,1856
40,0.1,1,0.8,0.235,470
40,0.1,2,0.8,0.818,1636
40,0.1,3,0.8,0.625,1250
40,0.1,4,0.8,0.514,1028
40,0.1,5,0.8,0.379,758
40,0.1,6,0.8,0.8335,1667
40,0.1,7,0.8,0.7305,1461
40,0.1,8,0.8,0.8815,1763
40,0.1,9,0.8,0.6205,1241
40,0.1,10,0.8,0.8175,1635
40,0.05,1,0.6,0.7115,1423
40,0.05,2,0.6,0.1765,353
40,0.05,3,0.6,0.608,1216
40,0.05,4,0.6,0.626,1252
40,0.05,5,0.6,0.8725,1745
40,0.05,6,0.6,0.3915,783
40,0.05,7,0.6,0.9835,1967
40,0.05,8,0.6,0.3935,787
40,0.05,9,0.6,0.6155,1231
40,0.05,10,0.6,0.94,1880
40,0.05,1,0.7,0.1905,381
40,0.05,2,0.7,0.805,1610
40,0.05,3,0.7,0.3955,791
40,0.05,4,0.7,0.9865,1973
40,0.05,5,0.7,0.8915,1783
40,0.05,6,0.7,0.0525,105
40,0.05,7,0.7,0.174,348
40,0.05,8,0.7,0.27,540
40,0.05,9,0.7,0.614,1228
40,0.05,10,0.7,0.7205,1441
40,0.05,1,0.8,0.8205,1641
40,0.05,2,0.8,0.8235,1647
40,0.05,3,0.8,0.157,314
40,0.05,4,0.8,0.9115,1823
40,0.05,5,0.8,0.515,1030
40,0.05,6,0.8,0.7465,1493
40,0.05,7,0.8,0.906,1812
40,0.05,8,0.8,0.631,1262
40,0.05,9,0.8,0.627,1254
40,0.05,10,0.8,0.382,764
40,0.025,1,0.6,0.076,152
40,0.025,2,0.6,0.186,372
40,0.025,3,0.6,0.2875,575
40,0.025,4,0.6,0.2835,567
40,0.025,5,0.6,0.057,114
40,0.025,6,0.6,0.713,1426
40,0.025,7,0.6,0.491,982
40,0.025,8,0.6,0.4955,991
40,0.025,9,0.6,0.2885,577
40,0.025,10,0.6,0.6045,1209
40,0.025,1,0.7,0.8895,1779
40,0.025,2,0.7,0.489,978
40,0.025,3,0.7,0.263,526
40,0.025,4,0.7,0.968,1936
40,0.025,5,0.7,0.627,1254
40,0.025,6,0.7,0.5035,1007
40,0.025,7,0.7,0.969,1938
40,0.025,8,0.7,0.3925,785
40,0.025,9,0.7,0.489,978
40,0.025,10,0.7,0.282,564
40,0.025,1,0.8,0.375,750
40,0.025,2,0.8,0.382,764
40,0.025,3,0.8,0.7275,1455
40,0.025,4,0.8,0.362,724
40,0.025,5,0.8,0.164,328
40,0.025,6,0.8,0.898,1796
40,0.025,7,0.8,0.7375,1475
40,0.025,8,0.8,0.089,178
40,0.025,9,0.8,0.7325,1465
40,0.025,10,0.8,0.6035,1207
40,0,1,0.6,0.732,1464
40,0,2,0.6,0.278,556
40,0,3,0.6,0.2675,535
40,0,4,0.6,0.071,142
40,0,5,0.6,0.732,1464
40,0,6,0.6,0.815,1630
40,0,7,0.6,0.928,1856
40,0,8,0.6,0.6255,1251
40,0,9,0.6,0.7625,1525
40,0,10,0.6,0.823,1646
40,0,1,0.7,0.8975,1795
40,0,2,0.7,0.7335,1467
40,0,3,0.7,0.6145,1229
40,0,4,0.7,0.968,1936
40,0,5,0.7,0.74,1480
40,0,6,0.7,0.5105,1021
40,0,7,0.7,0.757,1514
40,0,8,0.7,0.262,524
40,0,9,0.7,0.946,1892
40,0,10,0.7,0.361,722
40,0,1,0.8,0.493,986
40,0,2,0.8,0.635,1270
40,0,3,0.8,0.873,1746
40,0,4,0.8,0.753,1506
40,0,5,0.8,0.739,1478
40,0,6,0.8,0.829,1658
40,0,7,0.8,0.732,1464
40,0,8,0.8,0.6445,1289
40,0,9,0.8,0.2565,513
40,0,10,0.8,0.821,1642
60,0.3,1,0.6,0.9765,1953
60,0.3,2,0.6,0.992,1984
60,0.3,3,0.6,0.888,1776
60,0.3,4,0.6,0.969,1938
60,0.3,5,0.6,0.9985,1997
60,0.3,6,0.6,0.9995,1999
60,0.3,7,0.6,0.998,1996
60,0.3,8,0.6,0.8555,1711
60,0.3,9,0.6,0.6675,1335
60,0.3,10,0.6,0.996,1992
60,0.3,1,0.7,0.955,1910
60,0.3,2,0.7,1,2000
60,0.3,3,0.7,1,2000
60,0.3,4,0.7,0.9815,1963
60,0.3,5,0.7,0.8865,1773
60,0.3,6,0.7,1,2000
