"","n","changeprob_mean","n_suburban","repetition","survival_control","proportion_estimates_below_zero_condition","count_estimates_below_zero_condition","proportion_estimates_below_zero_habitatnatural","proportion_estimates_below_zero_habitatsuburban"
"398",30,0.2,8,8,0.5,0.0405,81,"0.1205","0.3605"
"399",30,0.2,13,9,0.5,0.006,12,"0.0555","0.0985"
"400",30,0.2,10,10,0.5,0.1115,223,"0.105","0.5575"
"401",30,0.2,9,1,0.6,0.119,238,"0.418","0.2145"
"402",30,0.2,7,2,0.6,0.6765,1353,"0.4585","0.6955"
"403",30,0.2,10,3,0.6,0.0895,179,"0.336","0.2945"
"404",30,0.2,10,4,0.6,0.1905,381,"0.2395","0.323"
"405",30,0.2,5,5,0.6,0.1935,387,"0.2955","0.456"
"406",30,0.2,8,6,0.6,0.021,42,"0.1335","0.445"
"407",30,0.2,5,7,0.6,0.1615,323,"0.4305","0.3755"
"408",30,0.2,6,8,0.6,0.183,366,"0.514","0.1065"
"409",30,0.2,7,9,0.6,0.5155,1031,"0.427","0.5395"
"410",30,0.2,9,10,0.6,0.098,196,"0.2735","0.3535"
"411",30,0.2,6,1,0.7,0.162,324,"0.4795","0.267"
"412",30,0.2,7,2,0.7,0.1565,313,"0.3525","0.331"
"413",30,0.2,6,3,0.7,0.2695,539,"0.24","0.5065"
"414",30,0.2,7,4,0.7,0.055,110,"0.2635","0.1545"
"415",30,0.2,8,5,0.7,0.1765,353,"0.233","0.3695"
"416",30,0.2,5,6,0.7,0.177,354,"0.4485","0.1345"
"417",30,0.2,10,7,0.7,0.3695,739,"0.45","0.539"
"418",30,0.2,8,8,0.7,0.2365,473,"0.407","0.5"
"419",30,0.2,6,9,0.7,0.0305,61,"0.0995","0.1095"
"420",30,0.2,11,10,0.7,0.716,1432,"0.473","0.7615"
"421",30,0.1,7,1,0.5,0.379,758,"0.536","0.3765"
"422",30,0.1,7,2,0.5,0.945,1890,"0.7505","0.7755"
"423",30,0.1,4,3,0.5,0.1825,365,"0.4325","0.3185"
"424",30,0.1,9,4,0.5,0.514,1028,"0.5565","0.446"
"425",30,0.1,5,5,0.5,0.3565,713,"0.3745","0.5415"
"426",30,0.1,4,6,0.5,0.482,964,"0.576","0.433"
"427",30,0.1,5,7,0.5,0.218,436,"0.3295","0.419"
"428",30,0.1,4,8,0.5,0.7125,1425,"0.466","0.78"
"429",30,0.1,9,9,0.5,0.2815,563,"0.4085","0.4595"
"430",30,0.1,6,10,0.5,0.1735,347,"0.344","0.3735"
"431",30,0.1,7,1,0.6,0.11,220,"0.3015","0.363"
"432",30,0.1,7,2,0.6,0.2385,477,"0.3505","0.535"
"433",30,0.1,6,3,0.6,0.3625,725,"0.3675","0.489"
"434",30,0.1,4,4,0.6,0.5575,1115,"0.5985","0.356"
"435",30,0.1,9,5,0.6,0.82,1640,"0.6245","0.7215"
"436",30,0.1,5,6,0.6,0.1065,213,"0.215","0.3975"
"437",30,0.1,9,7,0.6,0.624,1248,"0.5195","0.5385"
"438",30,0.1,11,8,0.6,0.3325,665,"0.415","0.684"
"439",30,0.1,12,9,0.6,0.549,1098,"0.508","0.5015"
"440",30,0.1,9,10,0.6,0.1525,305,"0.1705","0.56"
"441",30,0.1,6,1,0.7,0.5125,1025,"0.368","0.608"
"442",30,0.1,8,2,0.7,0.27,540,"0.1145","0.619"
"443",30,0.1,5,3,0.7,0.1545,309,"0.2645","0.3905"
"444",30,0.1,11,4,0.7,0.639,1278,"0.579","0.5705"
"445",30,0.1,13,5,0.7,0.0945,189,"0.1155","0.43"
"446",30,0.1,11,6,0.7,0.6365,1273,"0.5515","0.6175"
"447",30,0.1,10,7,0.7,0.521,1042,"0.3195","0.5775"
"448",30,0.1,3,8,0.7,0.2205,441,"0.272","0.5955"
"449",30,0.1,10,9,0.7,0.277,554,"0.2665","0.6255"
"450",30,0.1,8,10,0.7,0.397,794,"0.3585","0.4905"
"451",30,0.05,7,1,0.5,0.4865,973,"0.461","0.6265"
"452",30,0.05,9,2,0.5,0.626,1252,"0.693","0.36"
"453",30,0.05,10,3,0.5,0.0245,49,"0.0025","0.729"
"454",30,0.05,8,4,0.5,0.79,1580,"0.784","0.431"
"455",30,0.05,8,5,0.5,0.5395,1079,"0.4885","0.483"
"456",30,0.05,7,6,0.5,0.7245,1449,"0.714","0.547"
"457",30,0.05,6,7,0.5,0.381,762,"0.301","0.615"
"458",30,0.05,4,8,0.5,0.49,980,"0.498","0.505"
"459",30,0.05,12,9,0.5,0.5275,1055,"0.51","0.507"
"460",30,0.05,6,10,0.5,0.718,1436,"0.6815","0.4875"
"461",30,0.05,3,1,0.6,0.0655,131,"0.1855","0.486"
"462",30,0.05,8,2,0.6,0.5765,1153,"0.594","0.521"
"463",30,0.05,6,3,0.6,0.3905,781,"0.4475","0.481"
"464",30,0.05,6,4,0.6,0.615,1230,"0.314","0.908"
"465",30,0.05,6,5,0.6,0.6325,1265,"0.624","0.49"
"466",30,0.05,3,6,0.6,0.0815,163,"0.1495","0.406"
"467",30,0.05,9,7,0.6,0.712,1424,"0.645","0.633"
"468",30,0.05,7,8,0.6,0.197,394,"0.476","0.1895"
"469",30,0.05,7,9,0.6,0.0615,123,"0.2585","0.37"
"470",30,0.05,5,10,0.6,0.5025,1005,"0.4825","0.61"
"471",30,0.05,11,1,0.7,0.708,1416,"0.5205","0.4885"
"472",30,0.05,5,2,0.7,0.734,1468,"0.613","0.523"
"473",30,0.05,10,3,0.7,0.1835,367,"0.2365","0.5295"
"474",30,0.05,12,4,0.7,0.3865,773,"0.7025","0.142"
"475",30,0.05,7,5,0.7,0.156,312,"0.3455","0.3605"
"476",30,0.05,5,6,0.7,0.1775,355,"0.371","0.291"
"477",30,0.05,9,7,0.7,0.7215,1443,"0.5265","0.6725"
"478",30,0.05,13,8,0.7,0.606,1212,"0.754","0.254"
"479",30,0.05,10,9,0.7,0.5885,1177,"0.6875","0.3595"
"480",30,0.05,6,10,0.7,0.611,1222,"0.3685","0.745"
"481",30,0.025,5,1,0.5,0.7135,1427,"0.683","0.4235"
"482",30,0.025,6,2,0.5,0.628,1256,"0.406","0.7655"
"483",30,0.025,7,3,0.5,0.343,686,"0.366","0.5535"
"484",30,0.025,7,4,0.5,0.63,1260,"0.5125","0.598"
"485",30,0.025,5,5,0.5,0.3475,695,"0.4595","0.5165"
"486",30,0.025,8,6,0.5,0.3545,709,"0.4905","0.4185"
"487",30,0.025,9,7,0.5,0.4105,821,"0.5515","0.3205"
"488",30,0.025,10,8,0.5,0.7965,1593,"0.6085","0.6445"
"489",30,0.025,11,9,0.5,0.2705,541,"0.4785","0.3585"
"490",30,0.025,8,10,0.5,0.518,1036,"0.437","0.6765"
"491",30,0.025,7,1,0.6,0.2,400,"0.4005","0.391"
"492",30,0.025,6,2,0.6,0.499,998,"0.5535","0.4135"
"493",30,0.025,5,3,0.6,0.3055,611,"0.468","0.31"
"494",30,0.025,4,4,0.6,0.2115,423,"0.372","0.4415"
"495",30,0.025,5,5,0.6,0.51,1020,"0.4045","0.4795"
"496",30,0.025,10,6,0.6,0.0195,39,"0.108","0.3545"
"497",30,0.025,7,7,0.6,0.5225,1045,"0.653","0.371"
"498",30,0.025,4,8,0.6,0.9295,1859,"0.78","0.5775"
"499",30,0.025,11,9,0.6,0.7365,1473,"0.634","0.6705"
"500",30,0.025,9,10,0.6,0.697,1394,"0.427","0.753"
"501",30,0.025,3,1,0.7,0.6175,1235,"0.727","0.2515"
"502",30,0.025,4,2,0.7,0.258,516,"0.393","0.3485"
"503",30,0.025,5,3,0.7,0.4965,993,"0.3955","0.703"
"504",30,0.025,7,4,0.7,0.3445,689,"0.641","0.1855"
"505",30,0.025,9,5,0.7,0.505,1010,"0.64","0.323"
"506",30,0.025,7,6,0.7,0.1875,375,"0.175","0.5465"
"507",30,0.025,6,7,0.7,0.483,966,"0.564","0.3285"
"508",30,0.025,3,8,0.7,0.7315,1463,"0.63","0.574"
"509",30,0.025,9,9,0.7,0.9005,1801,"0.793","0.6805"
"510",30,0.025,9,10,0.7,0.179,358,"0.3975","0.3915"
"511",30,0,9,1,0.5,0.4875,975,"0.45","0.5655"
"512",30,0,5,2,0.5,0.7135,1427,"0.71","0.504"
"513",30,0,8,3,0.5,0.392,784,"0.3525","0.567"
"514",30,0,3,4,0.5,0.109,218,"0.087","0.76"
"515",30,0,6,5,0.5,0.392,784,"0.506","0.3465"
"516",30,0,6,6,0.5,0.9275,1855,"0.79","0.6675"
"517",30,0,10,7,0.5,0.1685,337,"0.126","0.628"
"518",30,0,8,8,0.5,0.428,856,"0.514","0.51"
"519",30,0,6,9,0.5,0.5025,1005,"0.4945","0.5065"
"520",30,0,12,10,0.5,0.812,1624,"0.5555","0.7735"
"521",30,0,6,1,0.6,0.7,1400,"0.5315","0.5625"
"522",30,0,8,2,0.6,0.607,1214,"0.657","0.4035"
"523",30,0,5,3,0.6,0.724,1448,"0.725","0.442"
"524",30,0,5,4,0.6,0.694,1388,"0.583","0.5985"
"525",30,0,3,5,0.6,0.7195,1439,"0.542","0.7455"
"526",30,0,4,6,0.6,0.9095,1819,"0.7315","0.654"
"527",30,0,9,7,0.6,0.7385,1477,"0.583","0.534"
"528",30,0,13,8,0.6,0.391,782,"0.4435","0.4585"
"529",30,0,10,9,0.6,0.382,764,"0.5885","0.299"
"530",30,0,4,10,0.6,0.2155,431,"0.4275","0.2045"
"531",30,0,6,1,0.7,0.8885,1777,"0.925","0.475"
"532",30,0,8,2,0.7,0.8795,1759,"0.6585","0.716"
"533",30,0,6,3,0.7,0.527,1054,"0.692","0.4615"
"534",30,0,6,4,0.7,0.493,986,"0.4965","0.503"
"535",30,0,11,5,0.7,0.947,1894,"0.852","0.635"
"536",30,0,6,6,0.7,0.8035,1607,"0.7535","0.51"
"537",30,0,10,7,0.7,0.299,598,"0.3565","0.4985"
"538",30,0,6,8,0.7,0.39,780,"0.514","0.3925"
"539",30,0,9,9,0.7,0.8395,1679,"0.6055","0.6705"
"540",30,0,6,10,0.7,0.105,210,"0.3545","0.267"
"541",40,0.3,11,1,0.5,0.1525,305,"0.316","0.3475"
"542",40,0.3,10,2,0.5,0.1935,387,"0.3255","0.371"
"543",40,0.3,12,3,0.5,0.0075,15,"0.0095","0.312"
"544",40,0.3,7,4,0.5,0.016,32,"0.086","0.345"
"545",40,0.3,6,5,0.5,0.0075,15,"0.0305","0.384"
"546",40,0.3,13,6,0.5,0.277,554,"0.6165","0.112"
"547",40,0.3,12,7,0.5,0.134,268,"0.328","0.321"
"548",40,0.3,13,8,0.5,0.02,40,"0.1265","0.143"
"549",40,0.3,8,9,0.5,0.155,310,"0.0805","0.636"
"550",40,0.3,11,10,0.5,0.044,88,"0.1475","0.179"
"551",40,0.3,9,1,0.6,0.0275,55,"0.149","0.088"
"552",40,0.3,10,2,0.6,0.0555,111,"0.2315","0.2975"
"553",40,0.3,10,3,0.6,0.268,536,"0.243","0.4975"
"554",40,0.3,10,4,0.6,0.001,2,"0.079","0.013"
"555",40,0.3,11,5,0.6,0.085,170,"0.1365","0.426"
"556",40,0.3,7,6,0.6,5e-04,1,"0.0085","0.3775"
"557",40,0.3,8,7,0.6,0.081,162,"0.1575","0.503"
"558",40,0.3,7,8,0.6,0.0475,95,"0.0525","0.456"
"559",40,0.3,15,9,0.6,0.004,8,"0.0275","0.233"
"560",40,0.3,8,10,0.6,0.0525,105,"0.128","0.2705"
"561",40,0.3,13,1,0.7,0.005,10,"0.004","0.5165"
"562",40,0.3,8,2,0.7,0.0065,13,"0.007","0.357"
"563",40,0.3,11,3,0.7,0.0715,143,"0.067","0.364"
"564",40,0.3,14,4,0.7,0.008,16,"0.101","0.113"
"565",40,0.3,6,5,0.7,0.303,606,"0.0935","0.5335"
"566",40,0.3,10,6,0.7,0.015,30,"0.089","0.181"
"567",40,0.3,12,7,0.7,0.003,6,"0.01","0.251"
"568",40,0.3,15,8,0.7,0.0665,133,"0.2105","0.1865"
"569",40,0.3,13,9,0.7,0.0435,87,"0.134","0.181"
"570",40,0.3,5,10,0.7,0.009,18,"0","0.731"
"571",40,0.2,8,1,0.5,0.396,792,"0.458","0.519"
"572",40,0.2,12,2,0.5,0.016,32,"0.098","0.1515"
"573",40,0.2,7,3,0.5,0.673,1346,"0.468","0.538"
"574",40,0.2,9,4,0.5,0.0705,141,"0.366","0.3"
"575",40,0.2,13,5,0.5,0.1255,251,"0.3205","0.4065"
"576",40,0.2,9,6,0.5,0.137,274,"0.205","0.352"
"577",40,0.2,8,7,0.5,0.007,14,"0.095","0.2835"
"578",40,0.2,14,8,0.5,0.079,158,"0.177","0.42"
"579",40,0.2,6,9,0.5,0.0035,7,"0.0075","0.492"
"580",40,0.2,14,10,0.5,0.3015,603,"0.1865","0.7315"
"581",40,0.2,12,1,0.6,0.167,334,"0.2555","0.372"
"582",40,0.2,12,2,0.6,0.032,64,"0.2045","0.375"
"583",40,0.2,10,3,0.6,0.146,292,"0.147","0.5095"
"584",40,0.2,9,4,0.6,0.0265,53,"0.1585","0.3765"
"585",40,0.2,10,5,0.6,0.3725,745,"0.457","0.3815"
"586",40,0.2,9,6,0.6,0.066,132,"0.1785","0.2745"
"587",40,0.2,8,7,0.6,0.145,290,"0.436","0.1275"
"588",40,0.2,10,8,0.6,0.0765,153,"0.023","0.58"
"589",40,0.2,12,9,0.6,0.214,428,"0.167","0.4505"
"590",40,0.2,9,10,0.6,0.204,408,"0.257","0.544"
"591",40,0.2,12,1,0.7,0.398,796,"0.332","0.475"
"592",40,0.2,12,2,0.7,0.599,1198,"0.316","0.553"
"593",40,0.2,10,3,0.7,0.0785,157,"0.3255","0.316"
"594",40,0.2,9,4,0.7,0.398,796,"0.32","0.5695"
"595",40,0.2,4,5,0.7,0.4,800,"0.4545","0.4325"
"596",40,0.2,13,6,0.7,0.057,114,"0.1875","0.409"
"597",40,0.2,19,7,0.7,0.6055,1211,"0.5245","0.548"
"598",40,0.2,12,8,0.7,0.035,70,"0.186","0.271"
"599",40,0.2,16,9,0.7,0.046,92,"0.09","0.385"
"600",40,0.2,12,10,0.7,0.3105,621,"0.167","0.534"
"601",40,0.1,14,1,0.5,0.2005,401,"0.3445","0.2855"
"602",40,0.1,12,2,0.5,0.343,686,"0.441","0.374"
"603",40,0.1,11,3,0.5,0.486,972,"0.517","0.4565"
"604",40,0.1,10,4,0.5,0.234,468,"0.543","0.1945"
"605",40,0.1,7,5,0.5,0.363,726,"0.4555","0.37"
"606",40,0.1,11,6,0.5,0.0195,39,"0.2215","0.1095"
"607",40,0.1,10,7,0.5,0.624,1248,"0.405","0.7035"
"608",40,0.1,10,8,0.5,0.5105,1021,"0.574","0.364"
"609",40,0.1,11,9,0.5,0.3845,769,"0.5945","0.262"
"610",40,0.1,7,10,0.5,0.045,90,"0.107","0.528"
"611",40,0.1,7,1,0.6,0.501,1002,"0.4695","0.6115"
"612",40,0.1,12,2,0.6,0.7665,1533,"0.885","0.4225"
"613",40,0.1,10,3,0.6,0.4685,937,"0.558","0.294"
"614",40,0.1,7,4,0.6,0.25,500,"0.344","0.4635"
"615",40,0.1,4,5,0.6,0.711,1422,"0.6105","0.5445"
"616",40,0.1,16,6,0.6,0.1585,317,"0.1195","0.626"
"617",40,0.1,14,7,0.6,0.088,176,"0.121","0.403"
"618",40,0.1,9,8,0.6,0.465,930,"0.4535","0.3445"
"619",40,0.1,11,9,0.6,0.2845,569,"0.398","0.5845"
"620",40,0.1,15,10,0.6,0.2835,567,"0.475","0.42"
"621",40,0.1,6,1,0.7,0.814,1628,"0.5915","0.766"
"622",40,0.1,10,2,0.7,0.0675,135,"0.2165","0.4595"
"623",40,0.1,6,3,0.7,0.7225,1445,"0.5465","0.611"
"624",40,0.1,5,4,0.7,0.395,790,"0.504","0.431"
"625",40,0.1,8,5,0.7,0.614,1228,"0.2575","0.6785"
"626",40,0.1,13,6,0.7,0.198,396,"0.2185","0.448"
"627",40,0.1,8,7,0.7,0.277,554,"0.361","0.5215"
"628",40,0.1,8,8,0.7,0.1245,249,"0.1985","0.3355"
"629",40,0.1,9,9,0.7,0.1715,343,"0.267","0.359"
"630",40,0.1,13,10,0.7,0.1175,235,"0.3065","0.236"
"631",40,0.05,11,1,0.5,0.131,262,"0.186","0.5445"
"632",40,0.05,9,2,0.5,0.6315,1263,"0.4945","0.7405"
"633",40,0.05,13,3,0.5,0.5125,1025,"0.3","0.734"
"634",40,0.05,11,4,0.5,0.6935,1387,"0.684","0.4785"
"635",40,0.05,12,5,0.5,0.6915,1383,"0.6345","0.451"
"636",40,0.05,7,6,0.5,0.2685,537,"0.454","0.2835"
"637",40,0.05,11,7,0.5,0.8005,1601,"0.5335","0.8045"
"638",40,0.05,11,8,0.5,0.6115,1223,"0.756","0.182"
"639",40,0.05,14,9,0.5,0.139,278,"0.1245","0.5405"
"640",40,0.05,8,10,0.5,0.2905,581,"0.4475","0.4325"
"641",40,0.05,12,1,0.6,0.1365,273,"0.185","0.2835"
"642",40,0.05,10,2,0.6,0.3985,797,"0.423","0.53"
"643",40,0.05,11,3,0.6,0.127,254,"0.453","0.199"
"644",40,0.05,11,4,0.6,0.2125,425,"0.3375","0.4545"
"645",40,0.05,10,5,0.6,0.312,624,"0.328","0.5695"
"646",40,0.05,6,6,0.6,0.254,508,"0.424","0.363"
"647",40,0.05,8,7,0.6,0.081,162,"0.303","0.3375"
"648",40,0.05,12,8,0.6,0.0415,83,"0.182","0.299"
"649",40,0.05,10,9,0.6,0.226,452,"0.5815","0.073"
"650",40,0.05,11,10,0.6,0.272,544,"0.626","0.277"
"651",40,0.05,14,1,0.7,0.361,722,"0.4565","0.491"
"652",40,0.05,8,2,0.7,0.7925,1585,"0.5865","0.6655"
"653",40,0.05,5,3,0.7,0.857,1714,"0.7865","0.399"
"654",40,0.05,14,4,0.7,0.7645,1529,"0.575","0.687"
"655",40,0.05,10,5,0.7,0.2385,477,"0.2235","0.633"
"656",40,0.05,9,6,0.7,0.1285,257,"0.1595","0.552"
"657",40,0.05,13,7,0.7,0.635,1270,"0.52","0.5415"
"658",40,0.05,10,8,0.7,0.208,416,"0.1835","0.5945"
"659",40,0.05,8,9,0.7,0.0415,83,"0.222","0.2355"
"660",40,0.05,14,10,0.7,0.2235,447,"0.393","0.4255"
"661",40,0.025,12,1,0.5,0.741,1482,"0.5045","0.762"
"662",40,0.025,15,2,0.5,0.4355,871,"0.481","0.4495"
"663",40,0.025,12,3,0.5,0.403,806,"0.5525","0.2955"
"664",40,0.025,14,4,0.5,0.79,1580,"0.4255","0.8695"
"665",40,0.025,12,5,0.5,0.643,1286,"0.601","0.3475"
"666",40,0.025,5,6,0.5,0.675,1350,"0.5985","0.547"
"667",40,0.025,12,7,0.5,0.763,1526,"0.583","0.676"
"668",40,0.025,10,8,0.5,0.213,426,"0.277","0.606"
"669",40,0.025,7,9,0.5,0.1215,243,"0.195","0.455"
"670",40,0.025,10,10,0.5,0.5235,1047,"0.4295","0.4725"
"671",40,0.025,11,1,0.6,0.2795,559,"0.544","0.202"
"672",40,0.025,7,2,0.6,0.1495,299,"0.3045","0.306"
"673",40,0.025,12,3,0.6,0.855,1710,"0.4175","0.8745"
"674",40,0.025,7,4,0.6,0.9255,1851,"0.9085","0.3635"
"675",40,0.025,8,5,0.6,0.0275,55,"0.125","0.243"
"676",40,0.025,13,6,0.6,0.4375,875,"0.5245","0.4115"
"677",40,0.025,7,7,0.6,0.6295,1259,"0.4895","0.685"
"678",40,0.025,9,8,0.6,0.0335,67,"0.175","0.393"
"679",40,0.025,8,9,0.6,0.53,1060,"0.7015","0.427"
"680",40,0.025,15,10,0.6,0.4825,965,"0.3755","0.6165"
"681",40,0.025,14,1,0.7,0.1285,257,"0.2265","0.4045"
"682",40,0.025,12,2,0.7,0.9635,1927,"0.8485","0.678"
"683",40,0.025,12,3,0.7,0.282,564,"0.3685","0.373"
"684",40,0.025,8,4,0.7,0.1215,243,"0.203","0.5065"
"685",40,0.025,13,5,0.7,0.7875,1575,"0.5135","0.743"
"686",40,0.025,10,6,0.7,0.641,1282,"0.63","0.3955"
"687",40,0.025,2,7,0.7,0.7905,1581,"0.779","0.3765"
"688",40,0.025,7,8,0.7,0.561,1122,"0.6315","0.4765"
"689",40,0.025,13,9,0.7,0.696,1392,"0.513","0.6875"
"690",40,0.025,9,10,0.7,0.221,442,"0.2525","0.5475"
"691",40,0,7,1,0.5,0.4125,825,"0.5525","0.2825"
"692",40,0,12,2,0.5,0.5075,1015,"0.6845","0.2615"
"693",40,0,15,3,0.5,0.51,1020,"0.6565","0.485"
"694",40,0,12,4,0.5,0.198,396,"0.4575","0.248"
"695",40,0,9,5,0.5,0.2305,461,"0.3525","0.573"
"696",40,0,10,6,0.5,0.599,1198,"0.6085","0.544"
"697",40,0,8,7,0.5,0.7385,1477,"0.586","0.558"
"698",40,0,5,8,0.5,0.1955,391,"0.3965","0.3915"
"699",40,0,14,9,0.5,0.355,710,"0.176","0.8305"
"700",40,0,9,10,0.5,0.3895,779,"0.537","0.374"
"701",40,0,10,1,0.6,0.6325,1265,"0.543","0.3755"
"702",40,0,7,2,0.6,0.605,1210,"0.4135","0.698"
"703",40,0,13,3,0.6,0.2145,429,"0.146","0.76"
"704",40,0,11,4,0.6,0.0315,63,"0.2815","0.1315"
"705",40,0,16,5,0.6,0.083,166,"0.135","0.5985"
"706",40,0,8,6,0.6,0.398,796,"0.574","0.252"
"707",40,0,11,7,0.6,0.499,998,"0.604","0.339"
"708",40,0,7,8,0.6,0.1405,281,"0.195","0.412"
"709",40,0,16,9,0.6,0.332,664,"0.5","0.289"
"710",40,0,9,10,0.6,0.154,308,"0.3035","0.2845"
"711",40,0,13,1,0.7,0.6935,1387,"0.657","0.489"
"712",40,0,13,2,0.7,0.241,482,"0.4755","0.2185"
"713",40,0,5,3,0.7,0.4935,987,"0.475","0.568"
"714",40,0,9,4,0.7,0.216,432,"0.2505","0.5565"
"715",40,0,9,5,0.7,0.2225,445,"0.165","0.6585"
"716",40,0,10,6,0.7,0.631,1262,"0.5935","0.5005"
"717",40,0,6,7,0.7,0.1855,371,"0.2525","0.494"
"718",40,0,9,8,0.7,0.289,578,"0.302","0.5525"
"719",40,0,9,9,0.7,0.855,1710,"0.6465","0.6115"
"720",40,0,7,10,0.7,0.6535,1307,"0.502","0.6985"
"721",60,0.3,15,1,0.5,0.0335,67,"0.098","0.3455"
"722",60,0.3,15,2,0.5,0.0315,63,"0.351","0.391"
"723",60,0.3,14,3,0.5,0.0035,7,"0.049","0.2445"
"724",60,0.3,13,4,0.5,0.052,104,"0.1685","0.259"
"725",60,0.3,12,5,0.5,0.0025,5,"0.0015","0.5655"
"726",60,0.3,16,6,0.5,0.0035,7,"0.0795","0.0825"
"727",60,0.3,10,7,0.5,0.118,236,"0.2985","0.192"
"728",60,0.3,11,8,0.5,0.015,30,"0.1295","0.1955"
"729",60,0.3,16,9,0.5,0.0925,185,"0.074","0.5565"
"730",60,0.3,18,10,0.5,0.067,134,"0.1275","0.391"
"731",60,0.3,21,1,0.6,0.2205,441,"0.3015","0.392"
"732",60,0.3,12,2,0.6,0.047,94,"0.1525","0.336"
"733",60,0.3,16,3,0.6,0.0405,81,"0.043","0.4035"
"734",60,0.3,17,4,0.6,0.003,6,"0.001","0.319"
"735",60,0.3,14,5,0.6,0.0245,49,"0.0465","0.413"
"736",60,0.3,16,6,0.6,0.005,10,"0.064","0.259"
"737",60,0.3,18,7,0.6,0.0355,71,"0.0195","0.399"
"738",60,0.3,11,8,0.6,0.0025,5,"0.044","0.0785"
"739",60,0.3,19,9,0.6,0.0115,23,"0.0465","0.1185"
"740",60,0.3,16,10,0.6,0.331,662,"0.269","0.641"
"741",60,0.3,13,1,0.7,0.019,38,"0.0105","0.4375"
"742",60,0.3,15,2,0.7,5e-04,1,"0.017","0.0105"
"743",60,0.3,12,3,0.7,0.004,8,"0.001","0.2925"
"744",60,0.3,18,4,0.7,0.0015,3,"0.001","0.1765"
"745",60,0.3,19,5,0.7,0.0015,3,"0.025","0.016"
"746",60,0.3,21,6,0.7,0.0035,7,"0.028","0.063"
"747",60,0.3,14,7,0.7,0.0465,93,"0.0175","0.4115"
"748",60,0.3,18,8,0.7,0.005,10,"0.0085","0.1925"
"749",60,0.3,10,9,0.7,0.002,4,"0.0055","0.1345"
"750",60,0.3,19,10,0.7,0.002,4,"0.011","0.1015"
"751",60,0.2,13,1,0.5,0.044,88,"0.074","0.3195"
"752",60,0.2,17,2,0.5,0.3665,733,"0.335","0.4215"
"753",60,0.2,15,3,0.5,0.217,434,"0.352","0.435"
"754",60,0.2,22,4,0.5,0.0355,71,"0.031","0.4845"
"755",60,0.2,14,5,0.5,0.6495,1299,"0.6955","0.3595"
"756",60,0.2,11,6,0.5,0,0,"0.0215","0.0915"
"757",60,0.2,17,7,0.5,0.165,330,"0.1595","0.547"
"758",60,0.2,16,8,0.5,0.0575,115,"0.1005","0.502"
"759",60,0.2,17,9,0.5,0.041,82,"0.078","0.4975"
"760",60,0.2,19,10,0.5,0.0465,93,"0.132","0.194"
"761",60,0.2,15,1,0.6,0.131,262,"0.452","0.229"
"762",60,0.2,11,2,0.6,0.0305,61,"0.18","0.148"
"763",60,0.2,12,3,0.6,0.1195,239,"0.3655","0.171"
"764",60,0.2,15,4,0.6,0.1345,269,"0.096","0.6335"
"765",60,0.2,17,5,0.6,0.001,2,"0.0255","0.1865"
"766",60,0.2,16,6,0.6,0.169,338,"0.339","0.334"
"767",60,0.2,11,7,0.6,0.6185,1237,"0.3815","0.576"
"768",60,0.2,17,8,0.6,0.2025,405,"0.599","0.059"
"769",60,0.2,19,9,0.6,0.013,26,"0.129","0.132"
"770",60,0.2,18,10,0.6,0.189,378,"0.3405","0.2565"
"771",60,0.2,17,1,0.7,0.0365,73,"0.033","0.546"
"772",60,0.2,9,2,0.7,0.3845,769,"0.3115","0.465"
"773",60,0.2,16,3,0.7,0.2175,435,"0.4515","0.4365"
"774",60,0.2,18,4,0.7,0.58,1160,"0.5245","0.3235"
"775",60,0.2,12,5,0.7,0.095,190,"0.06","0.4885"
"776",60,0.2,14,6,0.7,0.2435,487,"0.1945","0.493"
"777",60,0.2,17,7,0.7,0.077,154,"0.2725","0.13"
"778",60,0.2,18,8,0.7,0.094,188,"0.2835","0.2825"
"779",60,0.2,13,9,0.7,0.2805,561,"0.2385","0.503"
"780",60,0.2,18,10,0.7,0.394,788,"0.423","0.3325"
"781",60,0.1,15,1,0.5,0.4025,805,"0.538","0.493"
"782",60,0.1,12,2,0.5,0.5775,1155,"0.591","0.38"
"783",60,0.1,9,3,0.5,0.4585,917,"0.457","0.5465"
"784",60,0.1,16,4,0.5,0.1535,307,"0.057","0.76"
"785",60,0.1,11,5,0.5,0.123,246,"0.2035","0.4975"
"786",60,0.1,15,6,0.5,0.222,444,"0.326","0.2545"
"787",60,0.1,18,7,0.5,0.1255,251,"0.318","0.2985"
"788",60,0.1,19,8,0.5,0.607,1214,"0.446","0.621"
"789",60,0.1,19,9,0.5,0.3975,795,"0.751","0.134"
"790",60,0.1,17,10,0.5,0.627,1254,"0.734","0.2835"
"791",60,0.1,10,1,0.6,0.368,736,"0.5175","0.453"
"792",60,0.1,19,2,0.6,0.4195,839,"0.651","0.1985"
"793",60,0.1,16,3,0.6,0.587,1174,"0.808","0.2475"
"794",60,0.1,15,4,0.6,0.1775,355,"0.1045","0.742"
"795",60,0.1,16,5,0.6,0.581,1162,"0.489","0.539"
"796",60,0.1,19,6,0.6,0.0355,71,"0.184","0.3135"
"797",60,0.1,11,7,0.6,0.126,252,"0.157","0.496"
"798",60,0.1,15,8,0.6,0.386,772,"0.7085","0.354"
"799",60,0.1,11,9,0.6,0.151,302,"0.117","0.6985"
"800",60,0.1,18,10,0.6,0.491,982,"0.5345","0.545"
