n,changenumber_mean,repetition,changeprop_sd,number_before,proportion_estimates_below_zero,count_estimates_below_zero
10,0.1,4,0.1,0.3,0.174,348
10,0.1,5,0.1,0.3,0.117,234
10,0.1,6,0.1,0.3,0.134,268
10,0.1,7,0.1,0.3,0.139,278
10,0.1,8,0.1,0.3,0.057,114
10,0.1,9,0.1,0.3,0.0155,31
10,0.1,10,0.1,0.3,0.2265,453
10,0.1,1,0.1,0.5,0.235,470
10,0.1,2,0.1,0.5,0.491,982
10,0.1,3,0.1,0.5,0.4895,979
10,0.1,4,0.1,0.5,0.0365,73
10,0.1,5,0.1,0.5,0.093,186
10,0.1,6,0.1,0.5,0.3645,729
10,0.1,7,0.1,0.5,0.147,294
10,0.1,8,0.1,0.5,0.719,1438
10,0.1,9,0.1,0.5,0.8915,1783
10,0.1,10,0.1,0.5,0.015,30
10,0.1,1,0.1,0.7,0.0195,39
10,0.1,2,0.1,0.7,0.0345,69
10,0.1,3,0.1,0.7,0.1365,273
10,0.1,4,0.1,0.7,0.0725,145
10,0.1,5,0.1,0.7,0.0925,185
10,0.1,6,0.1,0.7,0.0085,17
10,0.1,7,0.1,0.7,0.0605,121
10,0.1,8,0.1,0.7,0.018,36
10,0.1,9,0.1,0.7,0.0055,11
10,0.1,10,0.1,0.7,0.0335,67
10,0,1,0.1,0.3,0.1515,303
10,0,2,0.1,0.3,0.9055,1811
10,0,3,0.1,0.3,0.479,958
10,0,4,0.1,0.3,0.135,270
10,0,5,0.1,0.3,0.6495,1299
10,0,6,0.1,0.3,0.7985,1597
10,0,7,0.1,0.3,0.3995,799
10,0,8,0.1,0.3,0.228,456
10,0,9,0.1,0.3,0.448,896
10,0,10,0.1,0.3,0.6175,1235
10,0,1,0.1,0.5,0.8145,1629
10,0,2,0.1,0.5,0.727,1454
10,0,3,0.1,0.5,0.95,1900
10,0,4,0.1,0.5,0.5685,1137
10,0,5,0.1,0.5,0.462,924
10,0,6,0.1,0.5,0.9825,1965
10,0,7,0.1,0.5,0.141,282
10,0,8,0.1,0.5,0.4175,835
10,0,9,0.1,0.5,0.241,482
10,0,10,0.1,0.5,0.6655,1331
10,0,1,0.1,0.7,0.2695,539
10,0,2,0.1,0.7,0.1695,339
10,0,3,0.1,0.7,0.785,1570
10,0,4,0.1,0.7,0.7285,1457
10,0,5,0.1,0.7,0.6915,1383
10,0,6,0.1,0.7,0.6,1200
10,0,7,0.1,0.7,0.113,226
10,0,8,0.1,0.7,0.6785,1357
10,0,9,0.1,0.7,0.0645,129
10,0,10,0.1,0.7,0.596,1192
20,0.3,1,0.1,0.3,0,0
20,0.3,2,0.1,0.3,0,0
20,0.3,3,0.1,0.3,0,0
20,0.3,4,0.1,0.3,0,0
20,0.3,5,0.1,0.3,0,0
20,0.3,6,0.1,0.3,0,0
20,0.3,7,0.1,0.3,0,0
20,0.3,8,0.1,0.3,0,0
20,0.3,9,0.1,0.3,0,0
20,0.3,10,0.1,0.3,0,0
20,0.3,1,0.1,0.5,0,0
20,0.3,2,0.1,0.5,0,0
20,0.3,3,0.1,0.5,0,0
20,0.3,4,0.1,0.5,0,0
20,0.3,5,0.1,0.5,0,0
20,0.3,6,0.1,0.5,5E-04,1
20,0.3,7,0.1,0.5,5E-04,1
20,0.3,8,0.1,0.5,0,0
20,0.3,9,0.1,0.5,0,0
20,0.3,10,0.1,0.5,0,0
20,0.3,1,0.1,0.7,0,0
20,0.3,2,0.1,0.7,0,0
20,0.3,3,0.1,0.7,0,0
20,0.3,4,0.1,0.7,0,0
20,0.3,5,0.1,0.7,0,0
20,0.3,6,0.1,0.7,0,0
20,0.3,7,0.1,0.7,0,0
20,0.3,8,0.1,0.7,0,0
20,0.3,9,0.1,0.7,0,0
20,0.3,10,0.1,0.7,0,0
20,0.25,1,0.1,0.3,0,0
20,0.25,2,0.1,0.3,0.0015,3
20,0.25,3,0.1,0.3,0,0
20,0.25,4,0.1,0.3,5E-04,1
20,0.25,5,0.1,0.3,0,0
20,0.25,6,0.1,0.3,0,0
20,0.25,7,0.1,0.3,0,0
20,0.25,8,0.1,0.3,0,0
20,0.25,9,0.1,0.3,0.004,8
20,0.25,10,0.1,0.3,5E-04,1
20,0.25,1,0.1,0.5,0,0
20,0.25,2,0.1,0.5,0,0
20,0.25,3,0.1,0.5,5E-04,1
20,0.25,4,0.1,0.5,0.0075,15
20,0.25,5,0.1,0.5,0,0
20,0.25,6,0.1,0.5,0,0
20,0.25,7,0.1,0.5,0,0
20,0.25,8,0.1,0.5,0,0
20,0.25,9,0.1,0.5,0.0035,7
20,0.25,10,0.1,0.5,0.001,2
20,0.25,1,0.1,0.7,0,0
20,0.25,2,0.1,0.7,5E-04,1
20,0.25,3,0.1,0.7,5E-04,1
20,0.25,4,0.1,0.7,0,0
20,0.25,5,0.1,0.7,0,0
20,0.25,6,0.1,0.7,0,0
20,0.25,7,0.1,0.7,0,0
20,0.25,8,0.1,0.7,0,0
20,0.25,9,0.1,0.7,0,0
20,0.25,10,0.1,0.7,0,0
20,0.2,1,0.1,0.3,5E-04,1
20,0.2,2,0.1,0.3,0.001,2
20,0.2,3,0.1,0.3,0.0025,5
20,0.2,4,0.1,0.3,5E-04,1
20,0.2,5,0.1,0.3,0.001,2
20,0.2,6,0.1,0.3,0.009,18
20,0.2,7,0.1,0.3,0.0175,35
20,0.2,8,0.1,0.3,0.0095,19
20,0.2,9,0.1,0.3,0.002,4
20,0.2,10,0.1,0.3,0.019,38
20,0.2,1,0.1,0.5,0.01,20
20,0.2,2,0.1,0.5,0.19,380
20,0.2,3,0.1,0.5,0,0
20,0.2,4,0.1,0.5,0,0
20,0.2,5,0.1,0.5,0.002,4
20,0.2,6,0.1,0.5,0,0
20,0.2,7,0.1,0.5,0,0
20,0.2,8,0.1,0.5,0.0035,7
20,0.2,9,0.1,0.5,0,0
20,0.2,10,0.1,0.5,0,0
20,0.2,1,0.1,0.7,0,0
20,0.2,2,0.1,0.7,0,0
20,0.2,3,0.1,0.7,0,0
20,0.2,4,0.1,0.7,0,0
20,0.2,5,0.1,0.7,0,0
20,0.2,6,0.1,0.7,5E-04,1
20,0.2,7,0.1,0.7,0,0
20,0.2,8,0.1,0.7,0.0025,5
20,0.2,9,0.1,0.7,0,0
20,0.2,10,0.1,0.7,5E-04,1
20,0.15,1,0.1,0.3,0.2565,513
20,0.15,2,0.1,0.3,0.001,2
20,0.15,3,0.1,0.3,0,0
20,0.15,4,0.1,0.3,0.0115,23
20,0.15,5,0.1,0.3,0.127,254
20,0.15,6,0.1,0.3,0.008,16
20,0.15,7,0.1,0.3,0.0015,3
20,0.15,8,0.1,0.3,0.0015,3
20,0.15,9,0.1,0.3,0.0165,33
20,0.15,10,0.1,0.3,0.007,14
20,0.15,1,0.1,0.5,0.007,14
20,0.15,2,0.1,0.5,0.031,62
20,0.15,3,0.1,0.5,0.001,2
20,0.15,4,0.1,0.5,0.1135,227
20,0.15,5,0.1,0.5,0,0
20,0.15,6,0.1,0.5,0.0015,3
20,0.15,7,0.1,0.5,0.01,20
20,0.15,8,0.1,0.5,0.0135,27
20,0.15,9,0.1,0.5,0,0
20,0.15,10,0.1,0.5,0,0
20,0.15,1,0.1,0.7,0,0
20,0.15,2,0.1,0.7,0.001,2
20,0.15,3,0.1,0.7,0.007,14
20,0.15,4,0.1,0.7,0,0
20,0.15,5,0.1,0.7,0.001,2
20,0.15,6,0.1,0.7,0.0405,81
20,0.15,7,0.1,0.7,0,0
20,0.15,8,0.1,0.7,5E-04,1
20,0.15,9,0.1,0.7,0.002,4
20,0.15,10,0.1,0.7,0.0015,3
20,0.1,1,0.1,0.3,0.0455,91
20,0.1,2,0.1,0.3,0.0585,117
20,0.1,3,0.1,0.3,0.0945,189
20,0.1,4,0.1,0.3,0.0655,131
20,0.1,5,0.1,0.3,0.004,8
20,0.1,6,0.1,0.3,0.013,26
20,0.1,7,0.1,0.3,0.0175,35
20,0.1,8,0.1,0.3,0.087,174
20,0.1,9,0.1,0.3,0.074,148
20,0.1,10,0.1,0.3,0.016,32
20,0.1,1,0.1,0.5,0.006,12
20,0.1,2,0.1,0.5,0.4485,897
20,0.1,3,0.1,0.5,0.1225,245
20,0.1,4,0.1,0.5,0.0185,37
20,0.1,5,0.1,0.5,0.0835,167
20,0.1,6,0.1,0.5,0.031,62
20,0.1,7,0.1,0.5,0.04,80
20,0.1,8,0.1,0.5,0.0125,25
20,0.1,9,0.1,0.5,0.104,208
20,0.1,10,0.1,0.5,0.0125,25
20,0.1,1,0.1,0.7,0.0165,33
20,0.1,2,0.1,0.7,0.0185,37
20,0.1,3,0.1,0.7,0.0025,5
20,0.1,4,0.1,0.7,0.0315,63
20,0.1,5,0.1,0.7,0.0905,181
20,0.1,6,0.1,0.7,0.0085,17
20,0.1,7,0.1,0.7,0.1265,253
20,0.1,8,0.1,0.7,0.004,8
20,0.1,9,0.1,0.7,0.0315,63
20,0.1,10,0.1,0.7,0.2305,461
20,0,1,0.1,0.3,0.6415,1283
20,0,2,0.1,0.3,0.855,1710
20,0,3,0.1,0.3,0.5445,1089
20,0,4,0.1,0.3,0.441,882
20,0,5,0.1,0.3,0.3335,667
20,0,6,0.1,0.3,0.851,1702
20,0,7,0.1,0.3,0.011,22
20,0,8,0.1,0.3,0.2695,539
20,0,9,0.1,0.3,0.0865,173
20,0,10,0.1,0.3,0.3435,687
20,0,1,0.1,0.5,0.0555,111
20,0,2,0.1,0.5,0.4325,865
20,0,3,0.1,0.5,0.939,1878
20,0,4,0.1,0.5,0.8795,1759
20,0,5,0.1,0.5,0.9125,1825
20,0,6,0.1,0.5,0.675,1350
20,0,7,0.1,0.5,0.278,556
20,0,8,0.1,0.5,0.54,1080
20,0,9,0.1,0.5,0.6255,1251
20,0,10,0.1,0.5,0.4985,997
20,0,1,0.1,0.7,0.258,516
20,0,2,0.1,0.7,0.4245,849
20,0,3,0.1,0.7,0.0075,15
20,0,4,0.1,0.7,0.2895,579
20,0,5,0.1,0.7,0.682,1364
20,0,6,0.1,0.7,0.658,1316
20,0,7,0.1,0.7,0.6605,1321
20,0,8,0.1,0.7,0.1365,273
20,0,9,0.1,0.7,0.2995,599
20,0,10,0.1,0.7,0.873,1746
30,0.3,1,0.1,0.3,0,0
30,0.3,2,0.1,0.3,0,0
30,0.3,3,0.1,0.3,0,0
30,0.3,4,0.1,0.3,0,0
30,0.3,5,0.1,0.3,0,0
30,0.3,6,0.1,0.3,0,0
30,0.3,7,0.1,0.3,0,0
30,0.3,8,0.1,0.3,0,0
30,0.3,9,0.1,0.3,0,0
30,0.3,10,0.1,0.3,0,0
30,0.3,1,0.1,0.5,0,0
30,0.3,2,0.1,0.5,0,0
30,0.3,3,0.1,0.5,0,0
30,0.3,4,0.1,0.5,0,0
30,0.3,5,0.1,0.5,0,0
30,0.3,6,0.1,0.5,0,0
30,0.3,7,0.1,0.5,0,0
30,0.3,8,0.1,0.5,0,0
30,0.3,9,0.1,0.5,0,0
30,0.3,10,0.1,0.5,0,0
30,0.3,1,0.1,0.7,0,0
30,0.3,2,0.1,0.7,0,0
30,0.3,3,0.1,0.7,0,0
30,0.3,4,0.1,0.7,0,0
30,0.3,5,0.1,0.7,0,0
30,0.3,6,0.1,0.7,0,0
30,0.3,7,0.1,0.7,0,0
30,0.3,8,0.1,0.7,0,0
30,0.3,9,0.1,0.7,0,0
30,0.3,10,0.1,0.7,0,0
30,0.25,1,0.1,0.3,0,0
30,0.25,2,0.1,0.3,0,0
30,0.25,3,0.1,0.3,0,0
30,0.25,4,0.1,0.3,0,0
30,0.25,5,0.1,0.3,5E-04,1
30,0.25,6,0.1,0.3,0,0
30,0.25,7,0.1,0.3,0,0
30,0.25,8,0.1,0.3,0,0
30,0.25,9,0.1,0.3,0,0
30,0.25,10,0.1,0.3,0,0
30,0.25,1,0.1,0.5,0,0
30,0.25,2,0.1,0.5,0,0
30,0.25,3,0.1,0.5,0,0
30,0.25,4,0.1,0.5,0,0
30,0.25,5,0.1,0.5,0,0
30,0.25,6,0.1,0.5,0,0
30,0.25,7,0.1,0.5,0,0
30,0.25,8,0.1,0.5,0,0
30,0.25,9,0.1,0.5,0,0
30,0.25,10,0.1,0.5,0,0
30,0.25,1,0.1,0.7,0,0
30,0.25,2,0.1,0.7,0,0
30,0.25,3,0.1,0.7,0,0
30,0.25,4,0.1,0.7,0,0
30,0.25,5,0.1,0.7,0,0
